Name,Price(INR),Total-area,Sector,Furnishing,Parking,Bathroom,Society
"2 BHK Flat for Sale in Signature Global City 81, Sector 81, Gurgaon",1.05 Cr,1000 sqft,Sector 81,Semi-Furnished,1,2,Signature Global City 81
"3 BHK Flat for Sale in Hero Homes, Sector 104, Gurgaon",1.28 Cr,861 sqft,Sector 104,Semi-Furnished,N/A,2,Hero Homes
"2 BHK Flat for Sale in Emaar Digi Homes, Sector 62, Gurgaon",2.10 Cr,1000 sqft,Sector 62,Semi-Furnished,1,2,Emaar Digi Homes
"5 BHK Flat for Sale in Elan The Presidential, Sector 106, Gurgaon",6 Cr,3400 sqft,Sector 106,Furnished,3,6,Elan The Presidential
"3 BHK Flat for Sale in Sector 81A, NH 8, Gurgaon",1.05 Cr,1205 sqft,NH 8,Semi-Furnished,1,2,N/A
"2 BHK Flat for Sale in Krisumi Waterfall Residences, Sector 36A, Gurgaon",2.10 Cr,1479 sqft,Sector 36A,Unfurnished,N/A,2,Krisumi Waterfall Residences
"3 BHK Flat for Sale in Smartworld One DXP, Sector 113, Gurgaon",2.37 Cr,1100 sqft,Sector 113,Semi-Furnished,1,3,Smartworld One DXP
"3 BHK Flat for Sale in Birla Navya Anaika, Sector 63A, Gurgaon",3.62 Cr,1650 sqft,Sector 63A,Semi-Furnished,2,3,Birla Navya Anaika
"3 BHK Flat for Sale in Emaar Digi Homes, Sector 62, Gurgaon",4.15 Cr,1820 sqft,Sector 62,Semi-Furnished,2,3,Emaar Digi Homes
"4 BHK Flat for Sale in DLF City Independent Floors, Phase 2 DLF, Gurgaon",3.30 Cr,170 sqyrd,Phase 2 DLF,Semi-Furnished,N/A,4,DLF City Independent Floors
"3 BHK Flat for Sale in Emaar Digi Homes, Sector 62, Gurgaon",3.99 Cr,2567 sqft,Sector 62,Furnished,2,3,Emaar Digi Homes
"3 BHK Flat for Sale in Shapoorji Pallonji Joyville, Sector 102, Gurgaon",2.05 Cr,1027 sqft,Sector 102,Semi-Furnished,1,3,Shapoorji Pallonji Joyville
"3 BHK Flat for Sale in Signature Global Prime, Sector 63A, Gurgaon",1.95 Cr,1750 sqft,Sector 63A,Semi-Furnished,1,3,Signature Global Prime
"4 BHK Flat for Sale in DLF Garden City Floors, Sector 91, Gurgaon",2 Cr,1875 sqft,Sector 91,Semi-Furnished,2,4,DLF Garden City Floors
"3 BHK Flat for Sale in Signature Global City 93, Sector 93, Gurgaon",1.30 Cr,996 sqft,Sector 93,Semi-Furnished,1,3,Signature Global City 93
"4 BHK Flat for Sale in Suncity, Sector 54, DLF Golf Course Road, Gurgaon",4.50 Cr,3600 sqft,Sector 54,Unfurnished,N/A,4,N/A
"4 BHK Flat for Sale in SS Linden Floors, Sector 84, Gurgaon",1.95 Cr,2722 sqft,Sector 84,Semi-Furnished,2,4,SS Linden Floors
"4 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",2.40 Cr,2600 sqft,Sector 79,Semi-Furnished,2,5,Bestech Altura
"4 BHK Flat for Sale in Orchid IVY, Sector 51, Gurgaon",3.50 Cr,2890 sqft,Sector 51,Semi-Furnished,3,4,Orchid IVY
"3 BHK Flat for Sale in MRG Crown, Sector 106, Gurgaon",1.75 Cr,1400 sqft,Sector 106,Semi-Furnished,1,3,MRG Crown
"3 BHK Flat for Sale in Trump Tower, Sector 65, Gurgaon",8 Cr,3525 sqft,Sector 65,Semi-Furnished,N/A,2,Trump Tower
"3 BHK Flat for Sale in Elevate, Sector 59, Gurgaon",5.20 Cr,1895 sqft,Sector 59,Semi-Furnished,1,3,Elevate
